Student_ID,CGPA,DSA_Score,System_Design_Score,DBMS_Score,OOP_Proficiency,Cloud_DevOps_Score,Web_Dev_Score,Problem_Solving_Rating,Aptitude_Score,Communication_Rating,Teamwork_Score,Github_Projects_Count,Internship_Duration_Months,Certifications_Count,Hackathons_Participated,Mock_Interview_Score,Domain_Specialization,Curriculum_Updated_Year,Skill_Gap_Index
CSE_0001,6.87,46,7,53,26,33,69,1368,54,1.8,80,12,3,3,3,86,DevOps,2023,10.89
CSE_0002,9.75,11,21,75,39,19,24,2305,67,2.9,24,15,11,1,0,29,FullStack,2021,0
CSE_0003,8.66,61,43,45,62,49,94,1937,78,2.4,58,12,1,4,8,29,AI_ML,2024,0
CSE_0004,7.99,79,57,46,60,87,21,1696,87,2.4,71,14,9,4,2,37,Cybersecurity,2023,0
CSE_0005,5.78,87,35,14,35,9,65,1619,88,3.1,68,13,7,4,3,57,Cybersecurity,2022,0
CSE_0006,5.78,82,68,18,97,31,44,1652,0,3.3,4,7,2,2,4,93,AI_ML,2018,9.84
CSE_0007,5.29,7,76,25,92,51,68,2300,6,4.2,98,10,6,4,6,40,DevOps,2018,16.22
CSE_0008,9.33,94,92,51,23,14,90,1509,56,2.4,18,1,6,1,5,93,FullStack,2021,4.43
CSE_0009,8.01,20,30,92,23,100,88,1120,94,4.2,22,7,11,2,4,56,FullStack,2021,0
CSE_0010,8.54,80,46,21,3,83,71,978,11,2.4,8,3,8,4,7,35,Cybersecurity,2021,7.57
CSE_0011,5.1,86,54,20,66,2,0,1696,4,1.2,93,9,5,2,0,63,DevOps,2018,15.87
CSE_0012,9.85,100,79,50,33,36,83,1018,49,3.2,49,9,0,1,6,97,DevOps,2022,0
CSE_0013,9.16,79,61,37,56,39,43,1588,41,3.4,15,14,7,4,5,15,DevOps,2021,0
CSE_0014,6.06,69,29,19,48,71,86,2351,11,4.7,32,0,0,0,4,87,FullStack,2018,30.75
CSE_0015,5.91,71,54,28,86,39,95,1291,17,3.9,1,12,2,5,6,77,DevOps,2021,0
CSE_0016,5.92,24,15,50,52,55,74,860,65,4.7,13,4,10,1,2,89,AI_ML,2021,12.82
CSE_0017,6.52,81,11,3,22,22,38,1877,73,4.6,0,12,4,3,0,71,DataEngineering,2023,0
CSE_0018,7.62,88,16,54,68,10,53,1337,78,3.4,89,0,7,3,8,13,DevOps,2021,30.45
CSE_0019,7.16,11,15,70,94,63,87,1647,93,3.1,57,6,8,1,1,30,DataEngineering,2018,28.26
CSE_0020,6.46,14,11,91,52,7,74,1787,16,3.2,88,7,6,3,2,65,FullStack,2022,26.2
CSE_0021,8.06,58,7,27,61,92,28,864,67,4.9,15,2,8,1,7,67,DevOps,2018,10.29
CSE_0022,5.7,25,83,3,40,93,53,1385,70,4.1,78,2,10,0,8,64,Cybersecurity,2018,11.51
CSE_0023,6.46,25,2,21,56,55,89,970,61,1.4,89,6,2,1,2,54,FullStack,2021,40.14
CSE_0024,6.83,46,15,75,59,59,15,2096,40,4.1,46,3,12,4,5,83,AI_ML,2023,0
CSE_0025,7.28,31,29,44,53,9,98,1334,94,1.7,43,2,4,4,6,77,AI_ML,2020,38.66
CSE_0026,8.93,9,22,66,69,38,19,2214,33,2.8,79,14,9,2,0,39,DataEngineering,2024,0
CSE_0027,6,15,91,85,100,27,45,1492,69,1.8,13,7,7,3,6,24,DataEngineering,2020,23.6
CSE_0028,7.57,70,4,65,56,48,66,2150,44,3.8,92,2,11,5,3,24,Cybersecurity,2020,16.88
CSE_0029,7.96,16,83,87,9,35,64,907,57,4.5,23,12,0,3,4,2,Cybersecurity,2018,17.94
CSE_0030,5.23,22,64,33,39,12,57,1985,50,2.2,54,13,7,1,7,68,AI_ML,2021,10.15
CSE_0031,8.04,25,29,90,6,95,52,1613,33,1.3,14,6,6,5,3,25,DevOps,2024,18.33
CSE_0032,5.85,84,20,54,37,35,0,1804,43,2.2,82,1,0,5,3,39,AI_ML,2020,45.99
CSE_0033,5.33,85,83,0,84,100,80,1251,14,3.7,71,10,12,3,7,37,AI_ML,2019,0
CSE_0034,9.74,6,69,71,60,25,65,2029,77,2.3,33,10,12,5,4,37,Cybersecurity,2019,0
CSE_0035,9.83,13,21,86,83,85,28,1389,69,2.1,1,0,9,5,5,67,DataEngineering,2019,28.94
CSE_0036,9.04,78,81,37,2,3,83,1839,49,1.7,26,11,11,4,4,6,Cybersecurity,2022,0
CSE_0037,6.52,6,71,5,50,94,69,1126,100,3,73,5,9,0,0,93,Cybersecurity,2021,11.32
CSE_0038,5.49,8,31,85,85,81,7,1407,31,2.1,98,7,11,1,6,29,Cybersecurity,2018,23.99
CSE_0039,8.42,47,32,24,46,63,28,1458,66,3.9,86,0,5,3,5,18,AI_ML,2018,35.52
CSE_0040,7.2,71,15,81,67,37,50,801,2,1.3,71,12,0,4,1,34,DevOps,2021,15.03
CSE_0041,5.61,58,75,16,91,87,32,1833,85,3.7,91,9,1,2,6,32,AI_ML,2023,4.12
CSE_0042,7.48,86,37,60,75,86,2,1233,85,2,22,11,4,5,5,32,FullStack,2024,0
CSE_0043,5.17,92,97,11,37,21,59,924,73,3,67,8,1,5,4,77,Cybersecurity,2023,6.86
CSE_0044,9.55,81,13,5,35,1,34,1904,50,2.1,13,14,9,3,7,37,Cybersecurity,2022,0
CSE_0045,6.29,94,35,89,40,30,68,1284,66,3.9,62,2,0,0,4,9,FullStack,2021,28.96
CSE_0046,8.31,93,96,26,68,10,90,1451,75,4.8,92,2,5,0,1,56,Cybersecurity,2023,0.69
CSE_0047,6.56,38,22,7,12,91,75,1973,92,4.7,64,3,7,3,5,27,Cybersecurity,2024,9.02
CSE_0048,7.6,98,65,82,86,45,83,1599,47,3.3,67,10,7,3,0,77,Cybersecurity,2022,0
CSE_0049,7.73,17,84,64,57,95,19,1672,16,2.9,62,14,12,4,4,99,FullStack,2020,0
CSE_0050,5.92,58,1,56,49,61,72,2163,6,4.3,95,0,12,3,5,37,AI_ML,2020,22.79
CSE_0051,9.85,16,90,92,29,68,38,928,12,3.7,96,8,7,2,6,15,Cybersecurity,2022,1.13
CSE_0052,8.88,13,72,98,61,63,3,1237,65,1.7,89,10,10,4,1,20,DevOps,2021,8.88
CSE_0053,9.7,30,64,39,100,9,18,1550,3,4.3,80,2,5,5,0,91,FullStack,2020,16.36
CSE_0054,9.47,23,74,13,24,39,90,1300,9,2.7,86,12,10,5,5,96,DataEngineering,2021,0
CSE_0055,7.99,98,66,34,26,23,44,1881,87,1.8,63,9,2,5,2,5,FullStack,2023,6.62
CSE_0056,9.61,59,51,47,50,98,42,2021,16,2.1,31,15,0,5,4,40,AI_ML,2020,0
